"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.521776419E2,6.031307000E1,2.503353500E1,2.639975186E1,1.482914686E0,2.942600098E2,1.500000000E0,3.400000095E0
1.531841989E2,6.031307000E1,2.503350833E1,2.659969592E1,1.478796959E0,2.933500061E2,1.500000000E0,3.400000095E0
1.541964745E2,6.031307000E1,2.503348000E1,2.669963648E1,1.477767467E0,2.918099976E2,1.399999976E0,3.400000095E0
1.551661001E2,6.031307167E1,2.503345167E1,2.679957529E1,1.478796959E0,2.916199951E2,1.299999952E0,3.400000095E0
1.561677130E2,6.031307500E1,2.503342833E1,2.679952285E1,1.478282213E0,2.904899902E2,1.299999952E0,3.400000095E0
1.571908742E2,6.031307833E1,2.503340333E1,2.659946692E1,1.480855823E0,2.921700134E2,1.399999976E0,3.400000095E0
1.581746699E2,6.031307833E1,2.503338667E1,2.609943195E1,1.479311705E0,2.942500000E2,1.500000000E0,3.400000095E0
1.591625552E2,6.031308167E1,2.503336167E1,2.609937602E1,1.474679112E0,2.955100098E2,1.500000000E0,3.400000095E0
1.601630973E2,6.031308500E1,2.503333667E1,2.589932008E1,1.468502522E0,2.944800110E2,1.500000000E0,3.400000095E0
1.611677569E2,6.031309000E1,2.503330167E1,2.619924143E1,1.469017267E0,2.940000000E2,1.500000000E0,3.400000095E0
1.621771979E2,6.031309500E1,2.503327833E1,2.599918724E1,1.473649740E0,2.932699890E2,1.500000000E0,3.400000095E0
1.631659773E2,6.031309333E1,2.503325000E1,2.619912955E1,1.475708604E0,2.945499878E2,1.500000000E0,3.400000095E0
1.641684212E2,6.031309167E1,2.503321833E1,2.639906486E1,1.481370568E0,2.945400085E2,1.500000000E0,3.400000095E0
1.651736557E2,6.031309500E1,2.503319000E1,2.709900193E1,1.477767467E0,2.927900085E2,1.500000000E0,3.299999952E0
1.661635311E2,6.031309833E1,2.503315333E1,2.789892152E1,1.475193858E0,2.928399963E2,1.500000000E0,3.299999952E0
1.671750610E2,6.031310333E1,2.503312167E1,2.839884985E1,1.473649740E0,2.947900085E2,1.600000024E0,3.299999952E0
1.681843686E2,6.031311000E1,2.503309667E1,2.859879043E1,1.474164486E0,2.935199890E2,1.500000000E0,3.299999952E0
1.691719721E2,6.031311333E1,2.503306833E1,2.889872750E1,1.476223350E0,2.911000061E2,1.399999976E0,3.400000095E0
1.701661404E2,6.031311667E1,2.503304000E1,2.949866457E1,1.477252722E0,2.899800110E2,1.500000000E0,3.400000095E0
1.711741212E2,6.031312000E1,2.503301000E1,2.969859815E1,1.472620249E0,2.891099854E2,1.500000000E0,3.400000095E0
1.721705798E2,6.031312500E1,2.503298500E1,3.009854047E1,1.470046639E0,2.891700134E2,1.600000024E0,3.299999952E0
1.731686352E2,6.031312833E1,2.503296000E1,3.029848453E1,1.469531894E0,2.895499878E2,1.500000000E0,3.299999952E0
1.741763157E2,6.031313333E1,2.503293667E1,3.029843035E1,1.461811066E0,2.903999939E2,1.600000024E0,3.299999952E0
1.751734342E2,6.031313667E1,2.503291500E1,3.069838141E1,1.462325811E0,2.898099976E2,1.500000000E0,3.299999952E0
1.761643629E2,6.031314000E1,2.503289333E1,3.079833247E1,1.458722830E0,2.935100098E2,1.500000000E0,3.299999952E0
1.771591539E2,6.031314000E1,2.503286833E1,3.079828002E1,1.455119729E0,2.903200073E2,1.500000000E0,3.299999952E0
1.781704813E2,6.031313833E1,2.503284500E1,3.029823281E1,1.421148062E0,2.783800049E2,1.500000000E0,3.400000095E0
1.791682299E2,6.031314000E1,2.503283000E1,2.999819960E1,1.322836161E0,2.712600098E2,1.500000000E0,3.400000095E0
1.801629551E2,6.031314000E1,2.503283000E1,2.989819960E1,1.202391148E0,2.784200134E2,1.399999976E0,3.400000095E0
1.811828902E2,6.031314000E1,2.503282667E1,2.929819260E1,1.142683387E0,3.025599976E2,1.399999976E0,3.299999952E0
1.821797077E2,6.031314833E1,2.503283000E1,2.889819088E1,1.075254679E0,3.025599976E2,1.399999976E0,3.299999952E0
1.831674527E2,6.031316167E1,2.503283333E1,2.859818392E1,1.102535009E0,3.379500122E2,1.500000000E0,3.299999952E0
1.841657835E2,6.031318167E1,2.503284500E1,2.839818748E1,1.154521942E0,1.655999947E1,1.600000024E0,3.400000095E0
1.851747407E2,6.031320167E1,2.503286000E1,2.829819802E1,1.192096710E0,1.872999954E1,1.600000024E0,3.400000095E0
1.861783970E2,6.031322000E1,2.503286500E1,2.829818933E1,1.232759714E0,1.350000000E1,1.600000024E0,3.400000095E0
1.871962509E2,6.031324000E1,2.503285500E1,2.859814743E1,1.261069417E0,6.630000114E0,1.600000024E0,3.299999952E0
1.881784007E2,6.031325333E1,2.503283500E1,2.849809152E1,1.301732540E0,3.532500000E2,1.600000024E0,3.299999952E0
1.891731745E2,6.031326167E1,2.503281667E1,2.829804434E1,1.405706406E0,3.400299988E2,1.600000024E0,3.299999952E0
1.901693518E2,6.031327167E1,2.503279833E1,2.819799542E1,1.557034731E0,3.274400024E2,1.600000024E0,3.299999952E0
1.911744628E2,6.031328333E1,2.503278167E1,2.809794824E1,1.643508077E0,3.243399963E2,1.600000024E0,3.400000095E0
