"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.640550147E0,-8.866819739E-1,-1.130369976E-1,-4.246880114E-1
1.645481299E0,-8.106949925E-1,-7.266300172E-2,-2.450910062E-1
1.650412378E0,-8.174660206E-1,-5.749800056E-2,-5.871900171E-2
1.655343683E0,-7.985820174E-1,-8.285100013E-2,7.276300341E-2
1.660274839E0,-7.501659989E-1,-1.271100044E-1,8.226600289E-2
1.665205911E0,-7.228180170E-1,-1.497389972E-1,3.442199901E-2
1.670137217E0,-6.237909794E-1,-2.244720012E-1,-4.447799921E-2
1.675068373E0,-5.668979883E-1,-2.797189951E-1,-1.447319984E-1
1.679999440E0,-4.589779973E-1,-3.296529949E-1,-2.591570020E-1
1.684930745E0,-3.574630022E-1,-3.364939988E-1,-3.541899920E-1
1.689861901E0,-2.889010012E-1,-2.886750102E-1,-4.322299957E-1
1.694792959E0,-2.533740103E-1,-2.414039969E-1,-5.028330088E-1
1.699724265E0,-2.013729960E-1,-2.346989959E-1,-5.445129871E-1
1.704655416E0,-1.724029928E-1,-2.062319964E-1,-4.520399868E-1
1.709586493E0,-2.121469975E-1,-1.348830014E-1,-3.475340009E-1
1.714517798E0,-2.560729980E-1,-3.764599934E-2,-2.142419964E-1
1.719448964E0,-2.709890008E-1,9.451299906E-2,-2.587799914E-2
1.724380041E0,-2.953769863E-1,2.112880051E-1,1.313450038E-1
1.729311347E0,-3.245289922E-1,3.121950030E-1,3.364199996E-1
1.734242513E0,-3.203110099E-1,3.946529925E-1,5.486050248E-1
1.739173818E0,-3.058739901E-1,4.247860014E-1,6.913729906E-1
1.744104882E0,-2.616139948E-1,4.189589918E-1,8.365920186E-1
1.749035959E0,-2.321839929E-1,3.792139888E-1,9.556180239E-1
1.753967111E0,-2.026769966E-1,3.005439937E-1,1.048511982E0
1.758898419E0,-1.421139985E-1,2.375220060E-1,1.079298973E0
1.763829575E0,-2.212600037E-2,2.065930068E-1,1.038318992E0
1.768760652E0,1.067859977E-1,1.410409957E-1,9.542750120E-1
1.773691967E0,1.851339936E-1,7.692900300E-2,8.822780252E-1
1.778623046E0,2.649640143E-1,-1.882199943E-2,8.246510029E-1
1.783554182E0,2.886700034E-1,-6.521999836E-2,7.382379770E-1
1.788485490E0,2.510269880E-1,-1.003779992E-1,6.732500196E-1
1.793416646E0,1.876049936E-1,-9.338700026E-2,6.343960166E-1
1.798347723E0,1.247000024E-1,-8.745700121E-2,6.431890130E-1
1.803279028E0,-8.844000287E-3,-5.897200108E-2,6.302539706E-1
1.808210184E0,-1.007210016E-1,-6.042199954E-2,6.003469825E-1
1.813141256E0,-1.201229990E-1,-3.498400003E-2,6.131970286E-1
1.818072562E0,-1.572880000E-1,-1.850900054E-2,5.994690061E-1
1.823003713E0,-2.019799948E-1,7.639999967E-3,6.214500070E-1
1.827935018E0,-2.533439994E-1,2.893999964E-2,6.241610050E-1
1.832866097E0,-2.968240082E-1,4.058200121E-2,6.267690063E-1
1.837797245E0,-3.084160089E-1,5.904699862E-2,5.765609741E-1
1.842728553E0,-3.335649967E-1,6.762699783E-2,5.908499956E-1
